Unnamed: 0,Unnamed: 0.1,Age,Athlete,Athlete_URL,Gender,Height,Finish,Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score,User_ID
1774,74,27.0,Roman Chausse,http://games.crossfit.com/athlete/238144,1,72.44,1775 (12950),12950,0,202.0,4201 (248),3862 (262),1015 (117),856 (250),3016 (10:55),16,Crossfit The Slab,CrossFit The Slab,,,,,,,,297.62,220.46,462.97,374.79,,1775,4201,248,3862,262,1015,117,856,250,3016,655,238144
1775,75,23.0,Jared Jankowski,http://games.crossfit.com/athlete/5025,1,69.0,1775 (12950),12950,0,180.0,2449 (264),2074 (340),3543 (108),3922 (216),962 (09:51),16,CrossFit Aggieland,CrossFit Aggieland,,,,,,,,315.0,250.0,450.0,400.0,50,1775,2449,264,2074,340,3543,108,3922,216,962,591,5025
1776,76,29.0,Brett Weidner,http://games.crossfit.com/athlete/63134,1,68.0,1777 (12957),12957,0,183.0,3663 (252),3998 (262),1104 (117),2607 (228),1585 (10:17),16,CrossFit CSA,CrossFit CSA,,,,,,,,305.0,255.0,500.0,425.0,,1777,3663,252,3998,262,1104,117,2607,228,1585,617,63134
1777,77,32.0,Nick Aranda,http://games.crossfit.com/athlete/238178,1,72.0,1778 (12963),12963,0,195.0,5675 (242),1092 (343),805 (119),1480 (241),3911 (11:15),16,Crossfit PRx,CrossFit PRX,,,,,,,,,,,,,1778,5675,242,1092,343,805,119,1480,241,3911,675,238178
1778,78,28.0,Michael Samosky,http://games.crossfit.com/athlete/390101,1,,1779 (12973),12973,0,170.0,4078 (249),816 (344),3039 (110),2630 (228),2410 (10:41),16,CrossFit Muskego- Warrior Barbell,CrossFit Muskego,,,,,,,,,,,,,1779,4078,249,816,344,3039,110,2630,228,2410,641,390101
1779,79,28.0,Sam Pullen,http://games.crossfit.com/athlete/163525,1,66.93,1780 (12980),12980,0,163.0,2532 (263),2619 (339),3543 (108),3390 (219),896 (09:48),16,CrossFit Bath,CrossFit Bath,,,,,,,,275.58,103.0,407.85,374.79,,1780,2532,263,2619,339,3543,108,3390,219,896,588,163525
1780,80,30.0,Marcin Kulcenty,http://games.crossfit.com/athlete/422766,1,,1781 (12986),12986,0,,2058 (267),2624 (339),800 (119),5253 (211),2251 (10:37),16,,CrossFit Calisia,,,,,,,,,,,,,1781,2058,267,2624,339,800,119,5253,211,2251,637,422766
1781,81,29.0,Kawika Henderson,http://games.crossfit.com/athlete/112845,1,68.0,1782 (12988),12988,0,198.0,4344 (247),1322 (342),3447 (109),818 (251),3057 (10:56),16,Never Enough,Never Enough CrossFit,,,,,,,,370.0,290.0,635.0,540.0,59,1782,4344,247,1322,342,3447,109,818,251,3057,656,112845
1782,82,26.0,Jordan Sonora,http://games.crossfit.com/athlete/25732,1,71.0,1783 (13000),13000,0,210.0,158 (311),3486 (286),3201 (109),5066 (211),1089 (09:56),16,Desert View CrossFit PPP,Desert View CrossFit,,,,,440,,,365.0,275.0,535.0,475.0,0,1783,158,311,3486,286,3201,109,5066,211,1089,596,25732
1783,83,31.0,Patrick Pitsch,http://games.crossfit.com/athlete/461074,1,68.0,1784 (13032),13032,0,190.0,1949 (268),1096 (343),1544 (115),5200 (211),3243 (11:00),16,Camelback CrossFit,Camelback CrossFit,,,,,,,,320.0,250.0,525.0,430.0,50,1784,1949,268,1096,343,1544,115,5200,211,3243,660,461074
