Age,Athlete,Athlete_URL,Finish,Gender,Height,Region,User_ID,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year
0,Bridget Erickson,http://games.crossfit.com/athlete/95635,81 (788),0,0,0,0,0,42 (307),292 (423),209 (116),200 (254),45 (08:40),16
0,Tia-Clair Toomey,http://games.crossfit.com/athlete/163097,82 (806),0,0,0,0,0,473 (270),32 (430),32 (129),80 (265),189 (09:21),16
0,Rebecca Voigt,http://games.crossfit.com/athlete/8015,83 (810),0,0,0,0,0,76 (299),473 (346),50 (127),17 (289),194 (09:22),16
0,Carly Fuhrer,http://games.crossfit.com/athlete/102114,84 (811),0,0,0,0,0,274 (278),209 (424),63 (125),111 (260),154 (09:15),16
0,Ruth Anderson Horrell,http://games.crossfit.com/athlete/25528,85 (816),0,0,0,0,0,98 (295),50 (430),406 (112),175 (255),87 (08:57),16
0,Chloe Gauvin-David,http://games.crossfit.com/athlete/236779,86 (817),0,0,0,0,0,49 (304),404 (347),132 (118),16 (289),216 (09:25),16
0,Maddy Myers,http://games.crossfit.com/athlete/206640,87 (829),0,0,0,0,0,26 (314),7 (430),8 (138),604 (236),184 (09:20),16
0,Kelly Wild,http://games.crossfit.com/athlete/164778,88 (830),0,0,0,0,0,194 (286),67 (428),252 (115),163 (257),154 (09:15),16
0,Steph Dekker,http://games.crossfit.com/athlete/120359,89 (832),0,0,0,0,0,64 (301),281 (423),122 (119),49 (270),316 (09:39),16
0,Regan Huckaby,http://games.crossfit.com/athlete/159681,90 (836),0,0,0,0,0,173 (288),183 (425),72 (124),59 (268),349 (09:42),16
0,Kristine Best,http://games.crossfit.com/athlete/280780,91 (848),0,0,0,0,0,380 (273),152 (425),101 (120),202 (253),13 (08:14),16
0,Maggie Kerrigan,http://games.crossfit.com/athlete/244032,92 (881),0,0,0,0,0,68 (300),297 (423),35 (129),192 (254),289 (09:36),16
0,Breona Evans,http://games.crossfit.com/athlete/99140,93 (894),0,0,0,0,0,128 (292),271 (423),266 (115),164 (257),65 (08:50),16
0,Alessandra Pichelli,http://games.crossfit.com/athlete/37537,94 (906),0,0,0,0,0,239 (282),103 (427),46 (127),96 (261),422 (09:51),16
0,Monique Williams,http://games.crossfit.com/athlete/238601,95 (918),0,0,0,0,0,60 (302),61 (430),41 (128),479 (240),277 (09:35),16
0,Brenda Castro,http://games.crossfit.com/athlete/242149,96 (926),0,0,0,0,0,194 (286),91 (427),60 (125),346 (246),235 (09:28),16
0,Jessica Griffith,http://games.crossfit.com/athlete/254313,97 (952),0,0,0,0,0,105 (294),115 (426),321 (114),158 (257),253 (09:30),16
0,Rachel Goldenberg,http://games.crossfit.com/athlete/112252,98 (953),0,0,0,0,0,139 (291),199 (424),214 (116),185 (255),216 (09:25),16
0,Andrea Ager,http://games.crossfit.com/athlete/34182,99 (957),0,0,0,0,0,173 (288),217 (424),214 (116),144 (258),209 (09:24),16
0,Stephanie Ortiz,http://games.crossfit.com/athlete/180078,100 (958),0,0,0,0,0,319 (276),62 (429),129 (119),239 (251),209 (09:24),16
0,Jamie Greene,http://games.crossfit.com/athlete/264512,1 (27),0,0,0,0,0,3 (347),12 (430),3 (147),6 (305),3 (07:43),16
0,Samantha Briggs,http://games.crossfit.com/athlete/2536,2 (30),0,0,0,0,0,2 (348),22 (430),1 (158),4 (308),1 (07:36),16
0,Kara Webb,http://games.crossfit.com/athlete/2942,3 (48),0,0,0,0,0,20 (319),1 (430),7 (139),14 (289),6 (08:05),16
0,Ragnheiður Sara Sigmundsdottir,http://games.crossfit.com/athlete/8859,4 (64),0,0,0,0,0,14 (325),3 (430),22 (130),2 (316),23 (08:26),16
0,Michele Letendre,http://games.crossfit.com/athlete/3407,5 (67),0,0,0,0,0,22 (318),10 (430),2 (147),28 (279),5 (08:02),16
0,Carol-Ann Reason-Thibault,http://games.crossfit.com/athlete/103389,6 (94),0,0,0,0,0,42 (307),14 (430),9 (138),3 (314),26 (08:29),16
0,Camille Leblanc-Bazinet,http://games.crossfit.com/athlete/8404,7 (119),0,0,0,0,0,10 (330),4 (430),11 (136),90 (263),4 (07:50),16
0,Emily Bridgers,http://games.crossfit.com/athlete/4925,8 (120),0,0,0,0,0,1 (354),8 (430),29 (129),74 (266),8 (08:09),16
0,Alexis Johnson,http://games.crossfit.com/athlete/208293,9 (127),0,0,0,0,0,18 (320),27 (430),24 (130),33 (276),25 (08:27),16
0,Annie Thorisdottir,http://games.crossfit.com/athlete/18588,10 (128),0,0,0,0,0,6 (340),21 (430),5 (141),7 (304),89 (08:58),16
0,Stacie Tovar,http://games.crossfit.com/athlete/5512,11 (136),0,0,0,0,0,20 (319),15 (430),13 (134),35 (275),53 (08:46),16
0,Emma McQuaid,http://games.crossfit.com/athlete/239442,12 (144),0,0,0,0,0,46 (305),33 (430),52 (127),5 (305),8 (08:09),16
0,Kristin Holte,http://games.crossfit.com/athlete/120480,13 (161),0,0,0,0,0,24 (317),35 (430),21 (131),79 (265),2 (07:41),16
0,Katrin Tanja Davidsdottir,http://games.crossfit.com/athlete/55121,14 (164),0,0,0,0,0,4 (345),9 (430),109 (120),22 (282),20 (08:24),16
0,Julie Abildgaard,http://games.crossfit.com/athlete/275395,15 (175),0,0,0,0,0,7 (338),30 (430),114 (120),1 (318),23 (08:26),16
0,Caroline Dardini,http://games.crossfit.com/athlete/117591,16 (181),0,0,0,0,0,14 (325),86 (427),44 (127),31 (277),6 (08:05),16
0,Kari Pearce,http://games.crossfit.com/athlete/305891,17 (187),0,0,0,0,0,49 (304),110 (426),4 (142),13 (291),11 (08:11),16
0,Carleen Mathews,http://games.crossfit.com/athlete/16973,18 (196),0,0,0,0,0,42 (307),26 (430),61 (125),19 (286),48 (08:42),16
0,Brooke Wells,http://games.crossfit.com/athlete/168305,19 (256),0,0,0,0,0,49 (304),2 (430),48 (127),12 (291),145 (09:13),16
