,"Unnamed: 0",Athlete,Athlete_URL,Games_Finish,Year,Games_Score,Games_Place,Division,Event_#,Event_ID,Event_Place,Event_Points,Event_Raw_Score,Event_Score
33,33,"Austin Stack",http://games.crossfit.com/athlete/31873,"34 (353)",2012,353,34,1,2,2012_02,25,37,02:12:23,7943
34,34,"Rob Forte",http://games.crossfit.com/athlete/7285,"35 (345)",2012,345,35,1,2,2012_02,10,67,02:05:23,7523
35,35,"David Levey",http://games.crossfit.com/athlete/8743,"36 (323)",2012,323,36,1,2,2012_02,23,41,02:10:12,7812
36,36,"Kevin Simons",http://games.crossfit.com/athlete/42206,"37 (297)",2012,297,37,1,2,2012_02,42,15,02:32:50,9170
37,37,"Jason Hoggan",http://games.crossfit.com/athlete/5718,"38 (284)",2012,284,38,1,2,2012_02,18,51,02:07:56,7676
38,38,"Matthew Lefave",http://games.crossfit.com/athlete/18006,"39 (257)",2012,257,39,1,2,2012_02,19,49,02:08:06,7686
39,39,"Jeremy Meredith",http://games.crossfit.com/athlete/5296,"40 (247)",2012,247,40,1,2,2012_02,39,18,02:24:44,8684
40,40,"Brandon Swan",http://games.crossfit.com/athlete/7314,"41 (242)",2012,242,41,1,2,2012_02,28,31,02:14:10,8050
41,41,"Brandon Phillips",http://games.crossfit.com/athlete/8067,"42 (233)",2012,233,42,1,2,2012_02,35,22,02:19:19,8359
42,42,"Bryan Diaz",http://games.crossfit.com/athlete/20717,"43 (199)",2012,199,43,1,2,2012_02,45,12,03:00:41,10841
43,43,"Yurii Hanson",http://games.crossfit.com/athlete/24538,"44 (192)",2012,192,44,1,2,2012_02,43,14,02:39:59,9599
44,44,"Brian Quinlan",http://games.crossfit.com/athlete/3008,"45 (166)",2012,166,45,1,2,2012_02,30,27,02:15:15,8115
45,45,"Orlando Trejo",http://games.crossfit.com/athlete/42803,"46 ()",2012,,46,1,2,2012_02,WD,,,
0,0,"Rich Froning",http://games.crossfit.com/athlete/11435,"1 (1089)",2012,1089,1,1,3,2012_03,3,90,36.51,36.51
1,1,"Matt Chan",http://games.crossfit.com/athlete/17703,"2 (975)",2012,975,2,1,3,2012_03,21,45,43.65,43.65
2,2,"Kyle Kasperbauer",http://games.crossfit.com/athlete/25569,"3 (930)",2012,930,3,1,3,2012_03,8,71,38.32,38.32
3,3,"Scott Panchik",http://games.crossfit.com/athlete/34796,"4 (892)",2012,892,4,1,3,2012_03,32,25,47.47,47.47
4,4,"Jason Khalipa",http://games.crossfit.com/athlete/12485,"5 (885)",2012,885,5,1,3,2012_03,23,41,43.77,43.77
5,5,"Dan Bailey",http://games.crossfit.com/athlete/47661,"6 (860)",2012,860,6,1,3,2012_03,16,55,44.19,44.19
6,6,"Marcus Hendren",http://games.crossfit.com/athlete/16421,"7 (846)",2012,846,7,1,3,2012_03,17,53,40.53,40.53
7,7,"Austin Malleolo",http://games.crossfit.com/athlete/10169,"8 (840)",2012,840,8,1,3,2012_03,31,26,46.52,46.52
8,8,"Chad Mackay",http://games.crossfit.com/athlete/51041,"9 (829)",2012,829,9,1,3,2012_03,20,47,42.4,42.4
9,9,"Graham Holmberg",http://games.crossfit.com/athlete/11451,"10 (813)",2012,813,10,1,3,2012_03,5,80,37.63,37.63
10,10,"Ben Smith",http://games.crossfit.com/athlete/43761,"11 (808)",2012,808,11,1,3,2012_03,18,51,41.01,41.01
11,11,"Nate Schrader",http://games.crossfit.com/athlete/53314,"12 (801)",2012,801,12,1,3,2012_03,14,59,42.21,42.21
12,12,"Spencer Hendel",http://games.crossfit.com/athlete/50866,"13 (735)",2012,735,13,1,3,2012_03,1,100,33.1,33.1
13,13,"Daniel Tyminski",http://games.crossfit.com/athlete/5284,"14 (701)",2012,701,14,1,3,2012_03,38,19,50.6,50.6
14,14,"Lucas Parker",http://games.crossfit.com/athlete/38209,"15 (685)",2012,685,15,1,3,2012_03,7,73,37.77,37.77
15,15,"Patrick Burke",http://games.crossfit.com/athlete/15617,"16 (608)",2012,608,16,1,3,2012_03,4,85,37.02,37.02
16,16,"Kenneth Leverich",http://games.crossfit.com/athlete/21343,"17 (604)",2012,604,17,1,3,2012_03,2,95,34.78,34.78
17,17,"Gabe Subry",http://games.crossfit.com/athlete/8496,"18 (604)",2012,604,18,1,3,2012_03,9,69,38.4,38.4
18,18,"Chase Daniels",http://games.crossfit.com/athlete/9241,"19 (531)",2012,531,19,1,3,2012_03,27,33,44.59,44.59
19,19,"Neal Maddox",http://games.crossfit.com/athlete/24156,"20 (527)",2012,527,20,1,3,2012_03,10,67,38.89,38.89
20,20,"Aja Barto",http://games.crossfit.com/athlete/36154,"21 (519)",2012,519,21,1,3,2012_03,6,75,37.75,37.75
21,21,"Chris Spealler",http://games.crossfit.com/athlete/27065,"22 (495)",2012,495,22,1,3,2012_03,11,65,39.5,39.5
22,22,"Jon Pera",http://games.crossfit.com/athlete/31660,"23 (495)",2012,495,23,1,3,2012_03,28,31,44.85,44.85
23,23,"Númi S. Katrínarson",http://games.crossfit.com/athlete/11391,"24 (471)",2012,471,24,1,3,2012_03,33,24,48.01,48.01
24,24,"Albert-Dominic Larouche",http://games.crossfit.com/athlete/49510,"25 (421)",2012,421,25,1,3,2012_03,25,37,44.08,44.08
25,25,"Justin Allen",http://games.crossfit.com/athlete/1819,"26 (397)",2012,397,26,1,3,2012_03,15,57,43.16,43.16
26,26,"Joey Warren",http://games.crossfit.com/athlete/11644,"27 (396)",2012,396,27,1,3,2012_03,35,22,49.46,49.46
27,27,"Phillip Kniep",http://games.crossfit.com/athlete/11826,"28 (394)",2012,394,28,1,3,2012_03,13,61,42.06,42.06
28,28,"Guido Trinidad",http://games.crossfit.com/athlete/30180,"29 (383)",2012,383,29,1,3,2012_03,12,63,40.03,40.03
29,29,"Frederik Aegidius",http://games.crossfit.com/athlete/18543,"30 (382)",2012,382,30,1,3,2012_03,26,35,44.08,44.08
30,30,"Jeremy Kinnick",http://games.crossfit.com/athlete/35012,"31 (382)",2012,382,31,1,3,2012_03,19,49,41.7,41.7
31,31,"Mikko Aronpää",http://games.crossfit.com/athlete/10822,"32 (374)",2012,374,32,1,3,2012_03,29,29,45.15,45.15
32,32,"Daniel Hershey",http://games.crossfit.com/athlete/2615,"33 (357)",2012,357,33,1,3,2012_03,36,21,50.12,50.12
33,33,"Austin Stack",http://games.crossfit.com/athlete/31873,"34 (353)",2012,353,34,1,3,2012_03,22,43,43.75,43.75
34,34,"Rob Forte",http://games.crossfit.com/athlete/7285,"35 (345)",2012,345,35,1,3,2012_03,30,27,45.88,45.88
35,35,"David Levey",http://games.crossfit.com/athlete/8743,"36 (323)",2012,323,36,1,3,2012_03,37,20,50.33,50.33
36,36,"Kevin Simons",http://games.crossfit.com/athlete/42206,"37 (297)",2012,297,37,1,3,2012_03,24,39,44.01,44.01
37,37,"Jason Hoggan",http://games.crossfit.com/athlete/5718,"38 (284)",2012,284,38,1,3,2012_03,42,15,61.63,61.63
38,38,"Matthew Lefave",http://games.crossfit.com/athlete/18006,"39 (257)",2012,257,39,1,3,2012_03,34,23,48.63,48.63
39,39,"Jeremy Meredith",http://games.crossfit.com/athlete/5296,"40 (247)",2012,247,40,1,3,2012_03,39,18,51.93,51.93
40,40,"Brandon Swan",http://games.crossfit.com/athlete/7314,"41 (242)",2012,242,41,1,3,2012_03,44,13,62.22,62.22
41,41,"Brandon Phillips",http://games.crossfit.com/athlete/8067,"42 (233)",2012,233,42,1,3,2012_03,41,16,59.47,59.47
42,42,"Bryan Diaz",http://games.crossfit.com/athlete/20717,"43 (199)",2012,199,43,1,3,2012_03,43,14,61.95,61.95
43,43,"Yurii Hanson",http://games.crossfit.com/athlete/24538,"44 (192)",2012,192,44,1,3,2012_03,40,17,52.13,52.13
44,44,"Brian Quinlan",http://games.crossfit.com/athlete/3008,"45 (166)",2012,166,45,1,3,2012_03,45,12,62.57,62.57
45,45,"Orlando Trejo",http://games.crossfit.com/athlete/42803,"46 ()",2012,,46,1,3,2012_03,WD,,,
0,0,"Rich Froning",http://games.crossfit.com/athlete/11435,"1 (1089)",2012,1089,1,1,4,2012_04,16,31,"104.00 in",104
1,1,"Matt Chan",http://games.crossfit.com/athlete/17703,"2 (975)",2012,975,2,1,4,2012_04,10,37,"106.50 in",106.5
2,2,"Kyle Kasperbauer",http://games.crossfit.com/athlete/25569,"3 (930)",2012,930,3,1,4,2012_04,14,33,"105.50 in",105.5
3,3,"Scott Panchik",http://games.crossfit.com/athlete/34796,"4 (892)",2012,892,4,1,4,2012_04,20,27,"102.50 in",102.5
4,4,"Jason Khalipa",http://games.crossfit.com/athlete/12485,"5 (885)",2012,885,5,1,4,2012_04,26,21,"98.50 in",98.5
5,5,"Dan Bailey",http://games.crossfit.com/athlete/47661,"6 (860)",2012,860,6,1,4,2012_04,12,35,"106.00 in",106
6,6,"Marcus Hendren",http://games.crossfit.com/athlete/16421,"7 (846)",2012,846,7,1,4,2012_04,18,29,"103.00 in",103
7,7,"Austin Malleolo",http://games.crossfit.com/athlete/10169,"8 (840)",2012,840,8,1,4,2012_04,25,22,"99.50 in",99.5
8,8,"Chad Mackay",http://games.crossfit.com/athlete/51041,"9 (829)",2012,829,9,1,4,2012_04,24,23,"100.00 in",100
9,9,"Graham Holmberg",http://games.crossfit.com/athlete/11451,"10 (813)",2012,813,10,1,4,2012_04,9,38,"108.00 in",108
10,10,"Ben Smith",http://games.crossfit.com/athlete/43761,"11 (808)",2012,808,11,1,4,2012_04,8,39,"108.50 in",108.5
11,11,"Nate Schrader",http://games.crossfit.com/athlete/53314,"12 (801)",2012,801,12,1,4,2012_04,1,50,"117.00 in",117
12,12,"Spencer Hendel",http://games.crossfit.com/athlete/50866,"13 (735)",2012,735,13,1,4,2012_04,2,48,"115.50 in",115.5
13,13,"Daniel Tyminski",http://games.crossfit.com/athlete/5284,"14 (701)",2012,701,14,1,4,2012_04,37,10,"91.00 in",91
14,14,"Lucas Parker",http://games.crossfit.com/athlete/38209,"15 (685)",2012,685,15,1,4,2012_04,4,44,"112.00 in",112
15,15,"Patrick Burke",http://games.crossfit.com/athlete/15617,"16 (608)",2012,608,16,1,4,2012_04,31,16,"95.50 in",95.5
16,16,"Kenneth Leverich",http://games.crossfit.com/athlete/21343,"17 (604)",2012,604,17,1,4,2012_04,5,42,"110.50 in",110.5
17,17,"Gabe Subry",http://games.crossfit.com/athlete/8496,"18 (604)",2012,604,18,1,4,2012_04,34,13,"93.00 in",93
18,18,"Chase Daniels",http://games.crossfit.com/athlete/9241,"19 (531)",2012,531,19,1,4,2012_04,35,12,"92.50 in",92.5
19,19,"Neal Maddox",http://games.crossfit.com/athlete/24156,"20 (527)",2012,527,20,1,4,2012_04,6,41,"110.00 in",110
20,20,"Aja Barto",http://games.crossfit.com/athlete/36154,"21 (519)",2012,519,21,1,4,2012_04,3,46,"114.00 in",114
21,21,"Chris Spealler",http://games.crossfit.com/athlete/27065,"22 (495)",2012,495,22,1,4,2012_04,18,29,"103.00 in",103
22,22,"Jon Pera",http://games.crossfit.com/athlete/31660,"23 (495)",2012,495,23,1,4,2012_04,27,20,"97.50 in",97.5
23,23,"Númi S. Katrínarson",http://games.crossfit.com/athlete/11391,"24 (471)",2012,471,24,1,4,2012_04,36,11,"91.50 in",91.5
24,24,"Albert-Dominic Larouche",http://games.crossfit.com/athlete/49510,"25 (421)",2012,421,25,1,4,2012_04,39,8,"90.00 in",90
25,25,"Justin Allen",http://games.crossfit.com/athlete/1819,"26 (397)",2012,397,26,1,4,2012_04,7,40,"109.50 in",109.5
26,26,"Joey Warren",http://games.crossfit.com/athlete/11644,"27 (396)",2012,396,27,1,4,2012_04,15,32,"104.50 in",104.5
27,27,"Phillip Kniep",http://games.crossfit.com/athlete/11826,"28 (394)",2012,394,28,1,4,2012_04,44,3,"74.00 in",74
28,28,"Guido Trinidad",http://games.crossfit.com/athlete/30180,"29 (383)",2012,383,29,1,4,2012_04,23,24,"101.50 in",101.5
29,29,"Frederik Aegidius",http://games.crossfit.com/athlete/18543,"30 (382)",2012,382,30,1,4,2012_04,31,16,"95.50 in",95.5
30,30,"Jeremy Kinnick",http://games.crossfit.com/athlete/35012,"31 (382)",2012,382,31,1,4,2012_04,37,10,"91.00 in",91
31,31,"Mikko Aronpää",http://games.crossfit.com/athlete/10822,"32 (374)",2012,374,32,1,4,2012_04,29,18,"97.00 in",97
32,32,"Daniel Hershey",http://games.crossfit.com/athlete/2615,"33 (357)",2012,357,33,1,4,2012_04,22,25,"102.00 in",102
33,33,"Austin Stack",http://games.crossfit.com/athlete/31873,"34 (353)",2012,353,34,1,4,2012_04,42,5,"83.00 in",83
34,34,"Rob Forte",http://games.crossfit.com/athlete/7285,"35 (345)",2012,345,35,1,4,2012_04,43,4,"82.50 in",82.5
35,35,"David Levey",http://games.crossfit.com/athlete/8743,"36 (323)",2012,323,36,1,4,2012_04,30,17,"96.50 in",96.5
36,36,"Kevin Simons",http://games.crossfit.com/athlete/42206,"37 (297)",2012,297,37,1,4,2012_04,10,37,"106.50 in",106.5
37,37,"Jason Hoggan",http://games.crossfit.com/athlete/5718,"38 (284)",2012,284,38,1,4,2012_04,12,35,"106.00 in",106
38,38,"Matthew Lefave",http://games.crossfit.com/athlete/18006,"39 (257)",2012,257,39,1,4,2012_04,16,31,"104.00 in",104
39,39,"Jeremy Meredith",http://games.crossfit.com/athlete/5296,"40 (247)",2012,247,40,1,4,2012_04,20,27,"102.50 in",102.5
40,40,"Brandon Swan",http://games.crossfit.com/athlete/7314,"41 (242)",2012,242,41,1,4,2012_04,41,6,"87.00 in",87
41,41,"Brandon Phillips",http://games.crossfit.com/athlete/8067,"42 (233)",2012,233,42,1,4,2012_04,27,20,"97.50 in",97.5
42,42,"Bryan Diaz",http://games.crossfit.com/athlete/20717,"43 (199)",2012,199,43,1,4,2012_04,40,7,"88.00 in",88
43,43,"Yurii Hanson",http://games.crossfit.com/athlete/24538,"44 (192)",2012,192,44,1,4,2012_04,33,14,"94.00 in",94
44,44,"Brian Quinlan",http://games.crossfit.com/athlete/3008,"45 (166)",2012,166,45,1,4,2012_04,45,2,"66.50 in",66.5
45,45,"Orlando Trejo",http://games.crossfit.com/athlete/42803,"46 ()",2012,,46,1,4,2012_04,WD,,,
0,0,"Rich Froning",http://games.crossfit.com/athlete/11435,"1 (1089)",2012,1089,1,1,5,2012_05,3,46,"68 pt",68
1,1,"Matt Chan",http://games.crossfit.com/athlete/17703,"2 (975)",2012,975,2,1,5,2012_05,2,48,"69 pt",69
2,2,"Kyle Kasperbauer",http://games.crossfit.com/athlete/25569,"3 (930)",2012,930,3,1,5,2012_05,16,31,"63 pt",63
3,3,"Scott Panchik",http://games.crossfit.com/athlete/34796,"4 (892)",2012,892,4,1,5,2012_05,19,28,"61 pt",61
4,4,"Jason Khalipa",http://games.crossfit.com/athlete/12485,"5 (885)",2012,885,5,1,5,2012_05,24,23,"56 pt",56
5,5,"Dan Bailey",http://games.crossfit.com/athlete/47661,"6 (860)",2012,860,6,1,5,2012_05,4,44,"67 pt",67
6,6,"Marcus Hendren",http://games.crossfit.com/athlete/16421,"7 (846)",2012,846,7,1,5,2012_05,9,38,"65 pt",65
7,7,"Austin Malleolo",http://games.crossfit.com/athlete/10169,"8 (840)",2012,840,8,1,5,2012_05,28,19,"55 pt",55
8,8,"Chad Mackay",http://games.crossfit.com/athlete/51041,"9 (829)",2012,829,9,1,5,2012_05,1,50,"72 pt",72
9,9,"Graham Holmberg",http://games.crossfit.com/athlete/11451,"10 (813)",2012,813,10,1,5,2012_05,17,30,"62 pt",62
10,10,"Ben Smith",http://games.crossfit.com/athlete/43761,"11 (808)",2012,808,11,1,5,2012_05,41,6,"47 pt",47
11,11,"Nate Schrader",http://games.crossfit.com/athlete/53314,"12 (801)",2012,801,12,1,5,2012_05,19,28,"61 pt",61
12,12,"Spencer Hendel",http://games.crossfit.com/athlete/50866,"13 (735)",2012,735,13,1,5,2012_05,7,40,"66 pt",66
13,13,"Daniel Tyminski",http://games.crossfit.com/athlete/5284,"14 (701)",2012,701,14,1,5,2012_05,44,3,"37 pt",37
14,14,"Lucas Parker",http://games.crossfit.com/athlete/38209,"15 (685)",2012,685,15,1,5,2012_05,4,44,"67 pt",67
15,15,"Patrick Burke",http://games.crossfit.com/athlete/15617,"16 (608)",2012,608,16,1,5,2012_05,31,16,"54 pt",54
16,16,"Kenneth Leverich",http://games.crossfit.com/athlete/21343,"17 (604)",2012,604,17,1,5,2012_05,32,15,"53 pt",53
17,17,"Gabe Subry",http://games.crossfit.com/athlete/8496,"18 (604)",2012,604,18,1,5,2012_05,9,38,"65 pt",65
