,Unnamed: 0,Age,Athlete,Athlete_URL,Gender,Height,Reg_Place,Reg_Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups
83,83,28,Derek Harwood,http://games.crossfit.com/athlete/400984,1,71.26,84 (624),0,1,214 lb,116 (241),65 (339),174 (101),196 (201),73 (11:05),16,,CrossFit Alberton,--,--,--,--,--,--,--,--,--,--,--,--
84,84,24,Paul Hofman,http://games.crossfit.com/athlete/253295,1,70.47,85 (629),0,1,170 lb,141 (235),152 (259),63 (112),51 (224),222 (12:48),16,Crossfit The Slab,CrossFit The Slab,--,--,--,--,--,--,--,135 kg,108 kg,220 kg,180 kg,70
85,85,24,Mert igci,http://games.crossfit.com/athlete/221694,1,70.08,85 (629),0,1,82 kg,52 (263),123 (260),144 (102),220 (200),90 (11:25),16,,CrossFit 1453,2:21,--,--,17:26,--,--,--,140 kg,110 kg,205 kg,200 kg,63
86,86,21,Bryan Michelson,http://games.crossfit.com/athlete/213786,1,,87 (645),0,1,--,135 (236),100 (261),56 (114),185 (202),169 (12:19),16,USN CrossFit Eikestad,CrossFit Eikestad,--,--,--,--,--,--,--,--,--,--,--,--
87,87,30,Nico van der Walt,http://games.crossfit.com/athlete/43551,1,69.69,88 (661),0,1,189 lb,100 (245),129 (260),212 (101),80 (213),140 (11:57),16,Team CrossFit Tokai,CrossFit Tokai,3:08,7:49,2:20,0:00,399,0:00,0:00,295 lb,225 lb,506 lb,416 lb,42
88,88,28,Afeef Husni,http://games.crossfit.com/athlete/531175,1,68.5,89 (670),0,1,85 kg,176 (228),33 (341),359 (93),49 (224),53 (10:47),16,,Dunes CrossFit,--,--,2:05,--,--,--,24:02,130 kg,102 kg,240 kg,213 kg,35
89,89,24,Majid Al Sharaf,http://games.crossfit.com/athlete/297397,1,,90 (673),0,1,188 lb,76 (251),143 (259),236 (100),121 (207),97 (11:30),16,CrossFit Delmon,CrossFit Delmon,--,--,--,--,--,--,--,--,--,--,--,--
90,90,28,Christian Leipoldt,http://games.crossfit.com/athlete/284045,1,72.05,91 (677),0,1,96 kg,87 (247),153 (259),69 (111),255 (197),113 (11:39),16,CrossFit Radium,CrossFit Radium,--,--,1:50,--,--,--,--,125 kg,95 kg,240 kg,170 kg,25
91,91,30,Israel Shamli,http://games.crossfit.com/athlete/109703,1,72.05,92 (678),0,1,181 lb,87 (247),272 (255),203 (101),48 (225),68 (11:01),16,,CrossFit Modiin,2:31,--,2:29,--,--,--,--,120 kg,100 kg,220 kg,165 kg,66
92,92,25,Morne Maritz,http://games.crossfit.com/athlete/115044,1,70.08,93 (680),0,1,90 kg,172 (230),87 (263),58 (113),325 (193),38 (10:27),16,,CrossFit Rustenburg,2:40,8:40,1:46,18:52,--,1:01,20:43,135 kg,105 kg,210 kg,180 kg,45
93,93,26,Rolo Pieters,http://games.crossfit.com/athlete/38478,1,,93 (680),0,1,--,188 (226),89 (262),163 (101),107 (209),133 (11:53),16,BST CrossFit,BST CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
94,94,27,Nuno de Abreu,http://games.crossfit.com/athlete/357489,1,,95 (682),0,1,185 lb,49 (265),19 (344),278 (97),275 (196),61 (10:55),16,,,--,--,--,--,--,--,--,--,--,--,--,--
95,95,20,Danny Voronov,http://games.crossfit.com/athlete/467876,1,,95 (682),0,1,--,166 (232),109 (261),206 (101),81 (213),120 (11:43),16,,CrossFit Hasharon Poleg,--,--,--,--,--,--,--,--,--,--,--,--
96,96,37,Jacques Du Toit,http://games.crossfit.com/athlete/110959,1,71.65,95 (682),0,1,206 lb,87 (247),183 (258),122 (103),163 (204),127 (11:47),16,CFTijgerValley,CrossFit Tijger Valley,--,--,--,--,--,--,--,--,--,--,--,--
97,97,31,Clinton Page,http://games.crossfit.com/athlete/101693,1,0.79,98 (686),0,1,163 lb,188 (226),139 (259),123 (103),114 (208),122 (11:44),16,Crossfit1111,CrossFit 1111,--,--,--,--,--,--,--,--,--,--,--,--
