Unnamed: 0,Unnamed: 0.1,Age,Athlete,Athlete_URL,Gender,Height,Finish,Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score,User_ID,Reg_Finish,Reg_Place,Reg_Score,Reg_Wk1_Finish,Reg_Wk1_Place,Reg_Wk2_Finish,Reg_Wk2_Place,Reg_Wk3_Finish,Reg_Wk3_Place,Reg_Wk4_Finish,Reg_Wk4_Place,Regional,Regional_Name,Region_Name,Reg_Cutoff,Reg_Actual,Reg_Auto_Qualify,Reg_Actual_Qualify,Status,Status_Code
1131,31,29.0,Patrick Bishop,http://games.crossfit.com/athlete/27783,1,66.0,1132 (8870),8870,11,157.0,1682 (271),2397 (339),1760 (114),1363 (243),1668 (10:20),16,CrossFit Southie,CrossFit Southie,,,,,,,,0.0,0.0,0.0,0.0,,1132,1682,271,2397,339,1760,114,1363,243,1668,620,27783,114 (850),114,850,163 (271),163,163 (271),163,163 (271),163,163 (271),163,4,East,North East,20,20,0,0,Out,0
1132,32,28.0,Ed Hurley,http://games.crossfit.com/athlete/83201,1,70.0,1133 (8871),8871,9,197.0,1372 (273),2153 (340),1239 (116),1610 (240),2497 (10:43),16,Crossfit Mt Lebanon,CrossFit Mt. Lebanon,160.0,388.0,113.0,,,72.0,1228.0,290.0,235.0,485.0,325.0,44.0,1133,1372,273,2153,340,1239,116,1610,240,2497,643,83201,71 (606),71,606,99 (273),99,99 (273),99,99 (273),99,99 (273),99,1,Atlantic,Mid Atlantic,20,22,0,0,Out,0
1133,33,25.0,Olek Kubicki,http://games.crossfit.com/athlete/11213,1,70.87,1134 (8878),8878,5,198.0,2532 (263),848 (344),2144 (114),1322 (243),2032 (10:31),16,The CENTAURS,CrossFit Fraser Valley,150.0,,110.0,,,61.0,,320.0,260.0,475.0,420.0,,1134,2532,263,848,344,2144,114,1322,243,2032,631,11213,17 (149),17,149,39 (263),39,39 (263),39,39 (263),39,39 (263),39,8,West,Canada West,20,23,1,1,Accepted,1
1134,34,25.0,Dustin Travers,http://games.crossfit.com/athlete/113887,1,,1135 (8882),8882,16,180.0,1057 (278),1441 (342),2810 (111),1588 (240),1986 (10:30),16,CrossFit RepScheme,CrossFit RepScheme,,,,,,,,,,,,,1135,1057,278,1441,342,2810,111,1588,240,1986,630,113887,74 (516),74,516,58 (278),58,58 (278),58,58 (278),58,58 (278),58,2,California,SoCal,20,24,0,0,Out,0
1135,35,24.0,Domenic Becker,http://games.crossfit.com/athlete/129688,1,71.0,1136 (8898),8898,7,185.0,1057 (278),448 (346),6219 (102),626 (254),548 (09:27),16,CrossFit Munich,CrossFit Munich,,,,,,,,,,,,,1136,1057,278,448,346,6219,102,626,254,548,567,129688,141 (1239),141,1239,176 (278),176,176 (278),176,176 (278),176,176 (278),176,5,Meridian,Europe,30,32,0,0,Out,0
1136,36,26.0,Nathan Horner,http://games.crossfit.com/athlete/122118,1,67.32,1137 (8902),8902,3,182.98,755 (286),2935 (339),713 (120),1442 (242),3057 (10:56),16,CrossFit Plus,CrossFit Plus,,,,,333.0,,1380.0,282.19,220.46,485.02,385.81,,1137,755,286,2935,339,713,120,1442,242,3057,656,122118,84 (566),84,566,53 (286),53,53 (286),53,53 (286),53,53 (286),53,6,Pacific,Australia,30,31,0,0,Out,0
1137,37,43.0,Nathan Loren,http://games.crossfit.com/athlete/14023,1,72.0,1138 (8904),8904,13,187.0,1294 (274),4522 (261),840 (119),403 (260),1845 (10:26),16,CrossFit Fort Vancouver Farm Team,CrossFit Fort Vancouver,152.0,430.0,123.0,938.0,,59.0,1189.0,260.0,215.0,500.0,400.0,60.0,1138,1294,274,4522,261,840,119,403,260,1845,626,14023,49 (362),49,362,46 (274),46,46 (274),46,46 (274),46,46 (274),46,8,West,North West,20,25,0,0,Out,0
1138,38,29.0,Drew Hymer,http://games.crossfit.com/athlete/33129,1,72.0,1139 (8937),8937,10,225.0,1682 (271),121 (426),1897 (114),2911 (224),2326 (10:39),16,Koda CrossFit,Koda CrossFit,142.0,446.0,84.0,1052.0,480.0,64.0,1319.0,3325.0,290.0,625.0,550.0,57.0,1139,1682,271,121,426,1897,114,2911,224,2326,639,33129,95 (778),95,778,142 (271),142,142 (271),142,142 (271),142,142 (271),142,3,Central,North Central,20,21,0,0,Out,0
1139,39,27.0,Scott Neal,http://games.crossfit.com/athlete/132560,1,67.0,1140 (8940),8940,11,177.0,1057 (278),2631 (339),1727 (114),1493 (241),2032 (10:31),16,,CrossFit Lighthouse,163.0,,118.0,,,,,300.0,260.0,475.0,395.0,55.0,1140,1057,278,2631,339,1727,114,1493,241,2032,631,132560,115 (862),115,862,112 (278),112,112 (278),112,112 (278),112,112 (278),112,4,East,North East,20,20,0,0,Out,0
1140,40,35.0,Shawn Butler,http://games.crossfit.com/athlete/16869,1,73.0,1141 (8943),8943,9,202.0,2058 (267),1413 (342),1678 (115),1843 (237),1951 (10:29),16,CrossFit FiveStar,CrossFit FiveStar,166.0,471.0,99.0,997.0,397.0,58.0,1335.0,305.0,260.0,505.0,450.0,56.0,1141,2058,267,1413,342,1678,115,1843,237,1951,629,16869,74 (625),74,625,163 (267),163,163 (267),163,163 (267),163,163 (267),163,1,Atlantic,Mid Atlantic,20,22,0,0,Out,0
