,Age,Athlete,Athlete_URL,Gender,Height,Reg_Place,Reg_Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year
6,0,Matt Morton,http://games.crossfit.com/athlete/464427,1,0,7 (83),0,14,0,6 (314),13 (424),16 (127),37 (256),11 (08:41),16
7,0,Will Bennett,http://games.crossfit.com/athlete/348805,1,0,8 (94),0,14,0,36 (291),12 (425),13 (127),12 (273),21 (08:54),16
8,0,Orion Hones,http://games.crossfit.com/athlete/314796,1,0,9 (98),0,14,0,46 (289),10 (425),18 (127),1 (292),23 (08:57),16
9,0,Joseph Guesnier,http://games.crossfit.com/athlete/95767,1,0,10 (114),0,14,0,17 (300),27 (423),4 (130),29 (260),37 (09:18),16
0,0,Noah Ohlsen,http://games.crossfit.com/athlete/2725,1,0,1 (7),0,15,0,1 (350),2 (430),1 (140),2 (314),1 (07:38),16
1,0,Travis Mayer,http://games.crossfit.com/athlete/1690,1,0,2 (11),0,15,0,2 (326),4 (430),2 (138),1 (314),2 (08:05),16
2,0,Irving Hernandez,http://games.crossfit.com/athlete/55226,1,0,3 (56),0,15,0,7 (320),13 (425),9 (129),23 (270),4 (08:08),16
3,0,Ryan Elrod,http://games.crossfit.com/athlete/258584,1,0,4 (62),0,15,0,7 (320),27 (423),3 (137),16 (275),9 (08:31),16
4,0,Mark Oliver,http://games.crossfit.com/athlete/775105,1,0,5 (78),0,15,0,18 (304),28 (423),5 (130),22 (270),5 (08:10),16
5,0,Jacob Anderson,http://games.crossfit.com/athlete/155824,1,0,6 (83),0,15,0,23 (302),22 (425),10 (129),8 (280),20 (09:03),16
6,0,Kirk Gibson,http://games.crossfit.com/athlete/7088,1,0,7 (87),0,15,0,9 (318),30 (423),22 (127),4 (284),22 (09:04),16
7,0,Mark Hutchinson,http://games.crossfit.com/athlete/402035,1,0,8 (88),0,15,0,11 (317),17 (425),23 (127),9 (279),28 (09:12),16
8,0,Dominick Maurici,http://games.crossfit.com/athlete/11446,1,0,9 (96),0,15,0,42 (293),5 (430),11 (128),24 (270),14 (08:46),16
9,0,Aaron Hanna,http://games.crossfit.com/athlete/187257,1,0,10 (102),0,15,0,13 (313),3 (430),72 (119),7 (280),7 (08:24),16
0,0,Josh Bridges,http://games.crossfit.com/athlete/124483,1,0,1 (12),0,16,0,1 (365),1 (430),3 (137),6 (280),1 (07:15),16
1,0,Rasmus Wisbech Andersen,http://games.crossfit.com/athlete/8896,1,0,2 (25),0,16,0,2 (325),2 (430),10 (131),2 (296),9 (08:45),16
2,0,Christian Lucero,http://games.crossfit.com/athlete/6122,1,0,3 (29),0,16,0,6 (314),7 (427),8 (133),3 (292),5 (08:37),16
3,0,Nuno Costa,http://games.crossfit.com/athlete/29109,1,0,4 (41),0,16,0,4 (316),18 (423),4 (136),11 (267),4 (08:35),16
4,0,Dan Bailey,http://games.crossfit.com/athlete/47661,1,0,5 (50),0,16,0,10 (305),4 (429),2 (140),23 (259),11 (08:51),16
5,0,Joshua Pollema,http://games.crossfit.com/athlete/237406,1,0,6 (53),0,16,0,7 (309),17 (423),5 (136),9 (274),15 (09:03),16
6,0,Jason Carroll,http://games.crossfit.com/athlete/501728,1,0,7 (56),0,16,0,26 (294),11 (425),6 (134),1 (303),12 (08:55),16
7,0,Ryan Fischer,http://games.crossfit.com/athlete/6190,1,0,8 (60),0,16,0,2 (325),13 (424),13 (129),17 (262),15 (09:03),16
8,0,Henry Lopez,http://games.crossfit.com/athlete/8388,1,0,9 (71),0,16,0,39 (289),9 (426),7 (134),7 (276),9 (08:45),16
9,0,Julian Alcaraz,http://games.crossfit.com/athlete/60526,1,0,10 (94),0,16,0,55 (280),6 (428),23 (127),4 (285),6 (08:40),16
0,0,Sean Sweeney,http://games.crossfit.com/athlete/134617,1,0,1 (15),0,17,0,1 (312),2 (425),10 (127),1 (291),1 (08:42),16
1,0,Tommy Vinas,http://games.crossfit.com/athlete/533026,1,0,2 (19),0,17,0,5 (298),1 (427),2 (130),2 (285),9 (09:34),16
2,0,Chantz Ramos,http://games.crossfit.com/athlete/243568,1,0,3 (39),0,17,0,1 (312),15 (345),11 (127),8 (265),4 (09:07),16
3,0,David Richman,http://games.crossfit.com/athlete/177611,1,0,4 (71),0,17,0,15 (288),8 (347),4 (128),38 (247),6 (09:18),16
4,0,Nik Hecht,http://games.crossfit.com/athlete/111024,1,0,5 (73),0,17,0,22 (279),31 (343),8 (127),10 (262),2 (08:51),16
5,0,Adrian Conway,http://games.crossfit.com/athlete/10484,1,0,6 (81),0,17,0,21 (281),5 (423),19 (124),5 (269),31 (10:06),16
6,0,Jorge Aragon,http://games.crossfit.com/athlete/19599,1,0,7 (83),0,17,0,5 (298),43 (342),21 (123),12 (260),2 (08:51),16
7,0,Ryan Laframboise,http://games.crossfit.com/athlete/319306,1,0,8 (88),0,17,0,17 (286),17 (345),20 (124),25 (252),9 (09:34),16
8,0,Will Trujillo,http://games.crossfit.com/athlete/26106,1,0,9 (92),0,17,0,4 (299),6 (423),33 (119),42 (246),7 (09:24),16
9,0,Justin Jindra,http://games.crossfit.com/athlete/204450,1,0,10 (101),0,17,0,1 (312),22 (344),9 (127),61 (238),8 (09:30),16
