,Athlete,Athlete_URL,Division,G_01_Place,G_01_Points,G_01_Score,G_02_Place,G_02_Points,G_02_Score,G_03_Place,G_03_Points,G_03_Score,G_04_Place,G_04_Points,G_04_Score,G_05_Place,G_05_Points,G_05_Score,G_06_Place,G_06_Points,G_06_Score,G_07_Place,G_07_Points,G_07_Score,G_08_Place,G_08_Points,G_08_Score,G_09_Place,G_09_Points,G_09_Score,G_10_Place,G_10_Points,G_10_Score,G_11_Place,G_11_Points,G_11_Score,G_12_Place,G_12_Points,G_12_Score,G_13_Place,G_13_Points,G_13_Score,G_14_Place,G_14_Points,G_14_Score,G_15_Place,G_15_Points,G_15_Score,Games_Place,Year
32,Regan Huckaby,http://games.crossfit.com/athlete/159681,2,35,10.0,CAP+1,12,56.0,10:30.00,29,22.0,53:29.52,34,12.0,34 pt,32,16.0,CAP+21,31,9.0,00:23.53,17,23.0,00:21.58,8,68.0,CAP+1,10,60.0,217 lb,29,22.0,08:35.99,36,8.0,17:11.59,13,54.0,CAP+51,25,30.0,CAP+34,,,,,,,33 (390),2015
33,Jessica Core,http://games.crossfit.com/athlete/2687,2,38,4.0,CAP+4,28,24.0,13:07.00,31,18.0,54:45.38,30,20.0,30 pt,23,34.0,CAP+7,24,16.0,00:23.03,25,15.0,00:22.37,34,12.0,CAP+7,10,60.0,217 lb,30,20.0,08:36.91,34,12.0,17:09.58,6,76.0,CAP+50,12,56.0,CAP+2,,,,,,,34 (367),2015
34,Lindy Barber,http://games.crossfit.com/athlete/6913,2,36,8.0,CAP+2,25,30.0,13:02.00,38,4.0,CAP+6,26,28.0,26 pt,34,12.0,CAP+30,1,50.0,00:19.57,2,47.0,00:19.75,24,32.0,CAP+5,30,20.0,195 lb,33,14.0,09:11.25,20,40.0,16:08.47,13,54.0,CAP+51,31,18.0,CAP+53,,,,,,,35 (357),2015
35,Carleen Mathews,http://games.crossfit.com/athlete/16973,2,26,28.0,57:53.84,34,12.0,CAP+1,4,84.0,41:54.12,27,26.0,27 pt,36,8.0,CAP+34,38,2.0,00:27.60,35,5.0,00:24.09,24,32.0,CAP+5,38,4.0,0 lb,31,18.0,09:03.79,22,36.0,16:14.93,6,76.0,CAP+50,32,16.0,CAP+54,,,,,,,36 (347),2015
36,Kelley Jackson,http://games.crossfit.com/athlete/12336,2,30,20.0,59:16.99,34,12.0,CAP+1,14,52.0,46:05.53,37,6.0,37 pt,37,6.0,CAP+37,27,13.0,00:23.23,14,26.0,00:21.48,37,6.0,CAP+8,35,10.0,185 lb,20,40.0,07:37.55,14,52.0,15:33.28,13,54.0,CAP+51,16,48.0,CAP+5,,,,,,,37 (345),2015
37,Annie Thorisdottir,http://games.crossfit.com/athlete/18588,2,13,54.0,51:55.25,6,76.0,09:58.00,33,14.0,CAP+1,12,56.0,12 pt,4,84.0,09:46.85,16,24.0,00:21.53,20,20.0,00:21.86,24,32.0,CAP+5,28,24.0,196 lb,27,26.0,08:22.96,WD,,,WD,,,WD,,,,,,,,,38 (410),2015
38,Maddy Myers,http://games.crossfit.com/athlete/312216,2,34,12.0,CAP,34,12.0,CAP+1,34,12.0,CAP+2,39,2.0,39 pt,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,,,,,,,39 (38),2015
39,Dani Horan,http://games.crossfit.com/athlete/3200,2,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,--,,,,,,,,,---,2015
0,Katrin Tanja Davidsdottir,http://games.crossfit.com/athlete/55121,2,4,84.0,38:27.21,38,4.0,295 lb,5,80.0,05:03.27,11,58.0,08:42.78,2,94.0,36:48.43,14,52.0,07:40.85,1,100.0,09:25.40,6,76.0,13:31.67,2,94.0,13:17.29,7,72.0,02:33.96,1,50.0,01:33.68,10,30.0,00:49.38,1,50.0,01:38.48,4,84.0,08:25.76,12,56.0,CAP+10,1 (984),2016
1,Tia-Clair Toomey,http://games.crossfit.com/athlete/163097,2,6,76.0,39:28.80,3,88.0,390 lb,13,54.0,05:31.41,1,100.0,07:28.23,18,44.0,42:00.45,3,88.0,05:56.92,22,36.0,12:20.22,13,54.0,14:46.76,3,88.0,13:21.66,2,94.0,02:28.96,17,23.0,02:52.15,1,50.0,00:47.41,6,38.0,01:54.59,7,72.0,08:39.42,8,68.0,09:15.51,2 (973),2016
2,Ragnheiður Sara Sigmundsdottir,http://games.crossfit.com/athlete/8859,2,11,58.0,40:45.60,9,64.0,365 lb,4,84.0,04:58.14,4,84.0,07:38.22,11,58.0,40:31.08,17,46.0,07:59.25,3,88.0,09:48.72,8,68.0,13:38.62,5,80.0,13:37.17,5,80.0,02:32.87,18,22.0,02:57.46,21,19.0,00:51.24,3,44.0,01:44.46,5,80.0,08:26.58,18,44.0,CAP+26,3 (919),2016
3,Samantha Briggs,http://games.crossfit.com/athlete/2536,2,1,100.0,36:08.65,13,54.0,355 lb,6,76.0,05:04.89,9,64.0,08:07.02,4,84.0,37:43.18,33,14.0,CAP+9,4,84.0,09:49.31,1,100.0,12:30.44,19,42.0,CAP+1,15,50.0,02:50.00,26,14.0,CAP+3,15,25.0,00:50.70,2,47.0,01:39.17,6,76.0,08:30.74,18,44.0,CAP+26,4 (874),2016
4,Kari Pearce,http://games.crossfit.com/athlete/305891,2,18,44.0,42:12.69,13,54.0,355 lb,18,44.0,05:53.77,29,22.0,09:26.05,1,100.0,36:42.42,38,4.0,CAP+13,13,54.0,11:44.55,2,94.0,13:09.15,1,100.0,13:13.74,9,64.0,02:34.69,2,47.0,01:33.84,20,20.0,00:51.19,13,27.0,02:08.49,19,42.0,09:54.01,3,88.0,08:25.01,5 (804),2016
5,Brooke Wells,http://games.crossfit.com/athlete/168305,2,37,6.0,47:08.65,1,100.0,415 lb,2,94.0,04:52.36,24,32.0,09:09.24,19,42.0,42:20.23,4,84.0,06:10.07,2,94.0,09:43.33,38,4.0,CAP+3,6,76.0,13:55.60,3,88.0,02:31.39,3,44.0,01:41.70,9,32.0,00:49.32,9,32.0,01:59.00,9,64.0,08:49.79,38,4.0,CAP+51,6 (796),2016
6,Kara Webb,http://games.crossfit.com/athlete/2942,2,21,38.0,42:21.40,19,42.0,345 lb,12,56.0,05:29.67,7,72.0,07:50.15,8,68.0,38:42.00,1,100.0,05:17.12,6,76.0,10:12.36,11,58.0,14:19.13,30,20.0,CAP+39,11,58.0,02:40.52,19,21.0,CAP+1,33,7.0,00:52.99,8,34.0,01:58.00,3,88.0,08:21.14,12,56.0,CAP+10,7 (794),2016
7,Kristi Eramo,http://games.crossfit.com/athlete/310687,2,3,88.0,37:50.61,24,32.0,335 lb,30,20.0,06:32.53,2,94.0,07:30.14,7,72.0,38:32.82,8,68.0,07:02.17,15,50.0,11:49.01,4,84.0,13:20.96,11,58.0,14:58.03,20,40.0,02:55.31,19,21.0,CAP+1,11,29.0,00:49.51,35,5.0,CAP+2,29,22.0,CAP+3,4,84.0,08:25.76,8 (767),2016
8,Alessandra Pichelli,http://games.crossfit.com/athlete/37537,2,13,54.0,41:24.10,4,84.0,385 lb,21,38.0,05:59.42,10,60.0,08:40.47,28,24.0,43:36.03,9,64.0,07:04.22,18,44.0,11:57.86,9,64.0,14:01.51,13,54.0,15:30.98,1,100.0,02:24.00,12,28.0,02:26.18,13,27.0,00:50.49,32,8.0,02:54.57,20,40.0,10:33.18,12,56.0,CAP+10,9 (745),2016
9,Anna Tunnicliffe,http://games.crossfit.com/athlete/9440,2,9,64.0,40:13.36,30,20.0,325 lb,17,46.0,05:47.94,6,76.0,07:46.26,17,46.0,41:39.30,32,16.0,CAP+8,11,58.0,11:32.49,12,56.0,14:25.71,7,72.0,14:13.90,12,56.0,02:43.88,15,25.0,02:41.07,23,17.0,00:51.74,5,40.0,01:51.26,1,100.0,08:06.64,17,46.0,CAP+22,10 (738),2016
10,Tennil Reed,http://games.crossfit.com/athlete/135797,2,7,72.0,39:35.59,13,54.0,355 lb,3,88.0,04:53.30,3,88.0,07:38.14,16,48.0,41:00.87,26,28.0,CAP+1,17,46.0,11:56.77,10,60.0,14:09.34,10,60.0,14:57.99,30,20.0,03:15.20,13,27.0,02:34.59,18,22.0,00:51.15,26,14.0,02:43.32,12,56.0,09:07.69,28,24.0,CAP+49,11 (707),2016
11,Kristin Holte,http://games.crossfit.com/athlete/120480,2,2,94.0,36:54.61,34,12.0,315 lb,22,36.0,06:00.56,21,38.0,08:58.04,5,80.0,37:57.95,18,44.0,08:16.16,21,38.0,12:17.68,7,72.0,13:37.98,14,52.0,15:32.95,6,76.0,02:33.68,7,36.0,02:03.32,5,40.0,00:48.35,34,6.0,CAP+1,10,60.0,09:01.85,34,12.0,CAP+50,12 (696),2016
12,Annie Thorisdottir,http://games.crossfit.com/athlete/18588,2,12,56.0,40:51.16,6,76.0,375 lb,1,100.0,04:28.51,23,34.0,09:07.82,24,32.0,42:54.62,25,30.0,10:21.91,7,72.0,10:26.46,16,48.0,14:53.64,18,44.0,CAP,10,60.0,02:39.00,8,34.0,02:08.44,27,13.0,00:52.18,17,23.0,02:12.68,27,26.0,CAP,23,34.0,CAP+27,13 (682),2016
13,Carol-Ann Reason-Thibault,http://games.crossfit.com/athlete/103389,2,25,30.0,43:39.55,9,64.0,365 lb,11,58.0,05:29.63,14,52.0,08:48.04,10,60.0,39:22.35,12,56.0,07:30.70,14,52.0,11:45.48,22,36.0,16:06.44,12,56.0,15:10.71,19,42.0,02:54.46,11,29.0,02:25.05,25,15.0,00:51.91,21,19.0,02:20.74,17,46.0,09:46.46,18,44.0,CAP+26,14 (659),2016
14,Tasia Percevecz,http://games.crossfit.com/athlete/149475,2,24,32.0,43:32.75,30,20.0,325 lb,14,52.0,05:42.23,37,6.0,10:24.41,23,34.0,42:51.34,6,76.0,07:01.49,5,80.0,10:04.58,14,52.0,14:51.55,4,84.0,13:22.27,8,68.0,02:34.61,9,32.0,02:10.59,16,24.0,00:50.92,12,28.0,02:07.17,32,16.0,CAP+4,23,34.0,CAP+27,15 (638),2016
15,Michele Letendre,http://games.crossfit.com/athlete/3407,2,33,14.0,45:59.04,13,54.0,355 lb,28,24.0,06:30.38,8,68.0,07:55.82,31,18.0,45:23.07,5,80.0,06:27.83,9,64.0,11:16.05,25,30.0,16:32.40,9,64.0,14:57.44,14,52.0,02:48.86,16,24.0,02:44.80,32,8.0,00:52.94,25,15.0,02:42.51,21,38.0,10:34.56,10,60.0,09:48.19,16 (613),2016
16,Chyna Cho,http://games.crossfit.com/athlete/27975,2,26,28.0,43:49.92,24,32.0,335 lb,20,40.0,05:58.37,5,80.0,07:40.59,13,54.0,40:48.42,28,24.0,CAP+3,19,42.0,12:02.13,5,80.0,13:29.68,36,8.0,CAP+54,17,46.0,02:52.23,19,21.0,CAP+1,30,10.0,00:52.87,11,29.0,02:06.40,2,94.0,08:06.80,28,24.0,CAP+49,17 (612),2016
17,Jamie Hagiya,http://games.crossfit.com/athlete/196834,2,39,2.0,51:49.96,19,42.0,345 lb,26,28.0,06:28.69,20,40.0,08:57.23,20,40.0,42:30.21,2,94.0,05:30.55,8,68.0,11:04.91,40,0.0,CAP+6,21,38.0,CAP+2,18,44.0,02:52.58,29,11.0,CAP+4,19,21.0,00:51.17,18,22.0,02:17.38,8,68.0,08:47.04,12,56.0,CAP+10,18 (574),2016
18,Thuridur Erla Helgadottir,http://games.crossfit.com/athlete/19501,2,8,68.0,40:04.07,34,12.0,315 lb,16,48.0,05:46.04,18,44.0,08:54.95,14,52.0,40:54.97,13,54.0,07:40.22,30,20.0,13:40.13,3,88.0,13:19.56,23,34.0,CAP+8,31,18.0,03:17.04,10,30.0,02:13.70,4,42.0,00:47.96,15,25.0,02:10.97,38,4.0,CAP+28,28,24.0,CAP+49,19 (563),2016
19,Emily  Abbott,http://games.crossfit.com/athlete/180250,2,29,22.0,45:06.18,13,54.0,355 lb,7,72.0,05:07.17,13,54.0,08:46.50,38,4.0,51:11.42,11,58.0,07:28.52,12,56.0,11:33.55,28,24.0,17:29.06,37,6.0,CAP+75,16,48.0,02:50.16,36,4.0,CAP+6,14,26.0,00:50.52,7,36.0,01:55.44,13,54.0,09:29.35,18,44.0,CAP+26,20 (562),2016
20,Camille Leblanc-Bazinet,http://games.crossfit.com/athlete/8404,2,16,48.0,41:57.95,24,32.0,335 lb,37,6.0,07:01.12,16,48.0,08:50.46,22,36.0,42:50.17,16,48.0,07:55.38,10,60.0,11:21.34,29,22.0,17:40.22,8,68.0,14:28.70,28,24.0,03:07.24,6,38.0,01:54.74,26,14.0,00:52.02,19,21.0,02:19.27,24,32.0,10:49.29,9,64.0,09:29.99,21 (561),2016
21,Margaux Alvarez,http://games.crossfit.com/athlete/3678,2,15,50.0,41:53.38,7,72.0,370 lb,8,68.0,05:17.87,17,46.0,08:54.26,21,38.0,42:40.02,29,22.0,CAP+7,23,34.0,12:26.37,26,28.0,16:34.77,31,18.0,CAP+40,26,28.0,03:01.41,19,21.0,CAP+1,17,23.0,00:51.11,14,26.0,02:09.64,18,44.0,09:52.95,28,24.0,CAP+49,22 (542),2016
22,Carleen Mathews,http://games.crossfit.com/athlete/16973,2,27,26.0,44:03.49,19,42.0,345 lb,33,14.0,06:55.20,26,28.0,09:13.23,3,88.0,37:05.19,24,32.0,09:41.47,31,18.0,13:41.36,15,50.0,14:53.52,38,4.0,CAP+86,22,36.0,02:57.37,19,21.0,CAP+1,24,16.0,00:51.77,27,13.0,02:43.70,15,50.0,09:36.67,2,94.0,08:18.65,23 (532),2016
23,Christy Adkins,http://games.crossfit.com/athlete/9121,2,10,60.0,40:13.52,19,42.0,345 lb,24,32.0,06:17.41,32,16.0,09:51.80,26,28.0,43:10.02,34,12.0,CAP+9,25,30.0,12:47.80,18,44.0,15:09.35,28,24.0,CAP+28,24,32.0,02:57.52,29,11.0,CAP+4,7,36.0,00:48.79,16,24.0,02:12.32,16,48.0,09:38.21,5,80.0,08:43.28,24 (519),2016
24,Lauren Fisher,http://games.crossfit.com/athlete/19117,2,14,52.0,41:41.44,7,72.0,370 lb,15,50.0,05:42.30,15,50.0,08:48.51,25,30.0,43:05.59,22,36.0,08:51.95,26,28.0,13:01.31,21,38.0,15:57.05,27,26.0,CAP+22,27,26.0,03:01.96,19,21.0,CAP+1,34,6.0,00:53.10,4,42.0,01:48.69,37,6.0,CAP+8,34,12.0,CAP+50,25 (495),2016
25,Alea Helmick,http://games.crossfit.com/athlete/134076,2,22,36.0,42:30.87,34,12.0,315 lb,35,10.0,06:58.41,31,18.0,09:44.22,30,20.0,44:47.81,10,60.0,07:06.25,27,26.0,13:13.96,30,20.0,18:03.94,15,50.0,15:41.51,4,84.0,02:32.40,32,8.0,CAP+5,2,47.0,00:47.68,39,1.0,CAP+4,29,22.0,CAP+3,7,72.0,09:09.01,26 (486),2016
26,Candice Wagner,http://games.crossfit.com/athlete/11460,2,5,80.0,39:26.12,2,94.0,395 lb,34,12.0,06:57.51,38,4.0,10:57.79,27,26.0,43:22.58,31,18.0,CAP+7,36,8.0,14:54.24,17,46.0,15:05.74,29,22.0,CAP+33,25,30.0,02:57.98,32,8.0,CAP+5,8,34.0,00:48.85,37,3.0,CAP+3,26,28.0,10:59.17,11,58.0,CAP+4,27 (471),2016
27,Stacie Tovar,http://games.crossfit.com/athlete/5512,2,28,24.0,44:39.76,13,54.0,355 lb,9,64.0,05:21.45,28,24.0,09:23.89,29,22.0,44:25.94,15,50.0,07:53.92,16,48.0,11:51.71,36,8.0,19:42.93,35,10.0,CAP+47,36,8.0,03:36.53,25,15.0,CAP+2,6,38.0,00:48.43,33,7.0,02:59.41,11,58.0,09:06.74,28,24.0,CAP+49,28 (454),2016
28,Emily Bridgers,http://games.crossfit.com/athlete/4925,2,19,42.0,42:14.09,24,32.0,335 lb,36,8.0,06:58.54,19,42.0,08:55.68,12,56.0,40:45.33,27,26.0,CAP+2,35,10.0,14:52.47,23,34.0,16:07.60,24,32.0,CAP+12,34,12.0,03:23.00,4,42.0,01:51.51,36,4.0,00:53.82,37,3.0,CAP+3,33,14.0,CAP+5,6,76.0,08:44.96,29 (433),2016
29,Whitney Cappellucci,http://games.crossfit.com/athlete/25565,2,35,10.0,46:20.40,5,80.0,380 lb,19,42.0,05:57.70,25,30.0,09:11.20,39,2.0,53:40.56,19,42.0,08:16.74,32,16.0,14:10.67,24,32.0,16:29.00,32,16.0,CAP+41,22,36.0,02:57.37,36,4.0,CAP+6,28,12.0,00:52.37,24,16.0,02:40.28,23,34.0,10:41.57,18,44.0,CAP+26,30 (416),2016
30,Alexis Johnson,http://games.crossfit.com/athlete/208293,2,30,20.0,45:29.94,24,32.0,335 lb,38,4.0,07:04.14,36,8.0,10:17.84,15,50.0,40:58.74,40,0.0,CAP+16,24,32.0,12:41.48,32,16.0,18:22.44,16,48.0,15:54.00,32,16.0,03:22.82,5,40.0,01:54.11,35,5.0,00:53.19,20,20.0,02:19.41,29,22.0,CAP+3,1,100.0,07:31.34,31 (413),2016
31,Christina Seeley,http://games.crossfit.com/athlete/68808,2,23,34.0,43:18.83,9,64.0,365 lb,27,26.0,06:30.19,34,12.0,10:00.70,35,10.0,47:24.86,7,72.0,07:01.69,33,14.0,14:33.90,27,26.0,16:56.27,20,40.0,CAP+2,33,14.0,03:22.83,29,11.0,CAP+4,31,9.0,00:52.92,31,9.0,02:54.04,28,24.0,CAP+2,34,12.0,CAP+50,32 (377),2016
32,Meg Reardon,http://games.crossfit.com/athlete/115892,2,31,18.0,45:43.13,19,42.0,345 lb,31,18.0,06:43.89,27,26.0,09:20.58,37,6.0,50:24.60,23,34.0,08:53.35,37,6.0,14:59.07,31,18.0,18:08.34,39,2.0,CAP+90,13,54.0,02:46.14,32,8.0,CAP+5,3,44.0,00:47.78,28,12.0,02:45.44,14,52.0,09:36.52,28,24.0,CAP+49,33 (364),2016
33,Sheila Barden,http://games.crossfit.com/athlete/23856,2,17,46.0,42:09.29,34,12.0,315 lb,39,2.0,07:08.61,30,20.0,09:32.62,6,76.0,38:20.84,30,20.0,CAP+7,34,12.0,14:36.15,19,42.0,15:42.17,26,28.0,CAP+19,35,10.0,03:23.28,26,14.0,CAP+3,37,3.0,00:55.36,30,10.0,02:48.45,34,12.0,CAP+6,12,56.0,CAP+10,34 (363),2016
34,Rebecca Voigt,http://games.crossfit.com/athlete/8015,2,34,12.0,46:02.23,9,64.0,365 lb,23,34.0,06:05.65,22,36.0,09:06.25,36,8.0,47:49.57,36,8.0,CAP+10,28,24.0,13:17.79,34,12.0,18:37.27,33,14.0,CAP+46,29,22.0,03:13.54,14,26.0,02:36.82,38,2.0,00:56.69,22,18.0,02:29.49,22,36.0,10:38.97,23,34.0,CAP+27,35 (350),2016
35,Jennifer Smith,http://games.crossfit.com/athlete/45491,2,40,0.0,CAP,40,0.0,000 lb,10,60.0,05:27.25,12,56.0,08:44.00,40,0.0,CAP+1,21,38.0,08:51.46,29,22.0,13:23.19,37,6.0,CAP+2,22,36.0,CAP+8,39,2.0,04:11.05,26,14.0,CAP+3,39,1.0,01:37.30,23,17.0,02:36.81,39,2.0,CAP+66,23,34.0,CAP+27,36 (288),2016
36,Carly Fuhrer,http://games.crossfit.com/athlete/102114,2,38,4.0,47:41.06,30,20.0,325 lb,32,16.0,06:44.50,35,10.0,10:15.26,32,16.0,45:32.27,35,10.0,CAP+10,39,2.0,CAP+14,33,14.0,18:25.42,34,13.0,CAP+47,21,38.0,02:56.88,36,4.0,CAP+6,22,18.0,00:51.44,10,30.0,02:01.48,36,8.0,CAP+7,23,34.0,CAP+27,37 (237),2016
37,Justine Beath,http://games.crossfit.com/athlete/60656,2,36,8.0,46:37.12,24,32.0,335 lb,25,30.0,06:20.66,39,2.0,11:22.58,33,14.0,45:32.28,20,40.0,08:46.36,40,0.0,CAP+32,35,10.0,19:03.08,25,30.0,CAP+12,38,4.0,03:59.79,36,4.0,CAP+6,29,11.0,00:52.41,35,5.0,CAP+2,25,30.0,10:56.16,38,4.0,CAP+51,38 (224),2016
38,Madeline Sturt,http://games.crossfit.com/athlete/21556,2,32,16.0,45:53.33,30,20.0,325 lb,40,0.0,07:15.61,33,14.0,09:59.32,34,12.0,47:06.11,39,2.0,CAP+15,38,4.0,CAP+6,39,2.0,CAP+4,40,0.0,CAP+91,37,6.0,03:59.56,32,8.0,CAP+5,12,28.0,00:50.21,29,11.0,02:48.02,34,12.0,CAP+6,34,12.0,CAP+50,39 (147),2016
39,Alethea Boon,http://games.crossfit.com/athlete/235218,2,20,40.0,42:18.04,39,2.0,285 lb,29,22.0,06:31.74,40,0.0,13:07.28,9,64.0,38:58.06,37,6.0,CAP+13,20,40.0,12:02.87,20,40.0,15:56.09,17,46.0,15:56.30,40,0.0,CAP+47,WD,,,WD,,,WD,,,WD,,,WD,,,40 (260),2016
