,Athlete,Athlete_URL,Division,G_01_Place,G_01_Points,G_01_Score,G_02_Place,G_02_Points,G_02_Score,G_03_Place,G_03_Points,G_03_Score,G_04_Place,G_04_Points,G_04_Score,G_05_Place,G_05_Points,G_05_Score,G_06_Place,G_06_Points,G_06_Score,G_07_Place,G_07_Points,G_07_Score,G_08_Place,G_08_Points,G_08_Score,G_09_Place,G_09_Points,G_09_Score,G_10_Place,G_10_Points,G_10_Score,G_11_Place,G_11_Points,G_11_Score,G_12_Place,G_12_Points,G_12_Score,G_13_Place,G_13_Points,G_13_Score,G_14_Place,G_14_Points,G_14_Score,G_15_Place,G_15_Points,G_15_Score,Games_Place,Year
11,Aaron Hanna,http://games.crossfit.com/athlete/187257,1,28,24.0,59:29.12,15,50.0,12:14.00,36,8.0,54:46.08,15,50.0,15 pt,5,80.0,09:57.84,21,19.0,00:20.20,17,23.0,00:20.34,6,76.0,07:02.30,1,100.0,350 lb,11,58.0,05:48.47,25,30.0,14:27.12,25,30.0,CAP+51,12,56.0,06:03.29,,,,,,,12 (604),2015
12,Alex Anderson,http://games.crossfit.com/athlete/5013,1,13,54.0,50:56.64,12,56.0,11:39.00,8,68.0,42:24.11,13,54.0,13 pt,19,42.0,11:29.69,25,15.0,00:20.57,16,24.0,00:20.33,27,26.0,11:07.71,12,56.0,317 lb,15,50.0,06:01.98,15,50.0,13:42.40,25,30.0,CAP+51,11,58.0,06:01.56,,,,,,,13 (583),2015
13,Lucas Parker,http://games.crossfit.com/athlete/38209,1,21,38.0,56:58.16,24,32.0,13:31.00,34,12.0,52:34.64,10,60.0,10 pt,15,50.0,10:53.54,27,13.0,00:20.77,11,29.0,00:19.46,24,32.0,10:15.44,7,72.0,325 lb,12,56.0,05:52.62,22,36.0,14:18.00,11,58.0,CAP+3,8,68.0,05:50.05,,,,,,,14 (556),2015
14,Ben Garard,http://games.crossfit.com/athlete/7336,1,5,80.0,48:27.53,27,26.0,14:37.00,9,64.0,42:39.22,19,42.0,19 pt,23,34.0,CAP+5,12,28.0,00:19.67,22,18.0,00:20.66,12,56.0,07:38.69,36,8.0,0 lb,17,46.0,06:05.26,16,48.0,13:51.04,25,30.0,CAP+51,10,60.0,05:55.13,,,,,,,15 (540),2015
15,Elijah Muhammad,http://games.crossfit.com/athlete/165705,1,40,0.0,CAP+10,3,88.0,10:47.00,39,2.0,CAP+2,4,84.0,4 pt,31,18.0,CAP+12,23,17.0,00:20.40,4,42.0,00:18.89,5,80.0,06:51.53,7,72.0,325 lb,24,32.0,06:18.60,19,42.0,14:10.00,18,44.0,CAP+49,33,14.0,CAP+27,,,,,,,16 (535),2015
16,Kevin Manuel,http://games.crossfit.com/athlete/147770,1,14,52.0,52:51.39,14,52.0,11:48.00,35,10.0,53:17.84,22,36.0,22 pt,33,14.0,CAP+28,5,40.0,00:18.60,10,30.0,00:19.35,4,84.0,06:28.00,17,46.0,315 lb,29,22.0,06:57.82,17,46.0,13:53.01,9,64.0,CAP+2,21,38.0,CAP+2,,,,,,,17 (534),2015
17,Jon Pera,http://games.crossfit.com/athlete/31660,1,32,16.0,CAP+2,25,30.0,13:38.00,16,48.0,46:27.14,1,100.0,1 pt,16,48.0,11:07.52,17,23.0,00:19.90,20,20.0,00:20.57,28,24.0,CAP+2,5,80.0,341 lb,32,16.0,07:27.60,33,14.0,14:54.00,12,56.0,CAP+4,18,44.0,06:35.03,,,,,,,18 (519),2015
18,Tyson Takasaki,http://games.crossfit.com/athlete/53824,1,25,30.0,58:14.10,7,72.0,11:20.00,15,50.0,46:03.48,8,68.0,8 pt,14,52.0,10:51.84,30,10.0,00:21.53,24,16.0,00:20.75,16,48.0,08:12.79,15,50.0,316 lb,34,12.0,07:58.51,28,24.0,14:38.08,9,64.0,CAP+2,29,22.0,CAP+6,,,,,,,19 (518),2015
19,Chad Cole,http://games.crossfit.com/athlete/13061,1,11,58.0,50:18.34,27,26.0,14:37.00,23,34.0,48:20.75,28,24.0,28 pt,37,6.0,CAP+33,3,44.0,00:18.43,3,44.0,00:18.81,10,60.0,07:28.73,33,14.0,285 lb,16,48.0,06:04.04,12,56.0,13:36.36,20,40.0,CAP+50,13,54.0,06:06.53,,,,,,,20 (508),2015
20,Adrian Conway,http://games.crossfit.com/athlete/10484,1,17,46.0,54:55.98,34,12.0,CAP+2,7,72.0,42:24.03,33,14.0,33 pt,8,68.0,10:14.48,12,28.0,00:19.67,25,15.0,00:21.13,23,34.0,09:59.83,20,40.0,312 lb,22,36.0,06:16.71,13,54.0,13:38.88,14,52.0,CAP+8,29,22.0,CAP+6,,,,,,,21 (493),2015
21,Roy Gamboa,http://games.crossfit.com/athlete/103415,1,33,14.0,CAP+3,26,28.0,13:53.00,33,14.0,51:30.83,21,38.0,21 pt,12,56.0,10:39.82,34,6.0,00:22.70,6,38.0,00:19.06,8,68.0,07:19.12,7,72.0,325 lb,21,38.0,06:12.62,29,22.0,14:41.58,20,40.0,CAP+50,19,42.0,06:48.02,,,,,,,22 (476),2015
22,Rob Forte,http://games.crossfit.com/athlete/7285,1,27,26.0,58:47.26,9,64.0,11:23.00,24,32.0,48:31.49,29,22.0,29 pt,4,84.0,09:20.00,35,5.0,00:22.77,35,5.0,00:22.51,25,30.0,10:28.51,32,16.0,291 lb,31,18.0,07:09.68,3,88.0,13:06.92,25,30.0,CAP+51,14,52.0,06:08.19,,,,,,,23 (472),2015
