Unnamed: 0,Age,Athlete,Athlete_URL,Finish,Gender,Height,Region,User_ID,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Score,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score
1951,28,Laura VALE,http://games.crossfit.com/athlete/145608,1852 (12466),0,64.96,0,145608,135.0,2054 (234),3746 (258),2514 (89),1061 (220),3091 (11:51),16,Reebok CrossFit Louvre,Reebok CrossFit Louvre,,,,,,,,,,,,,1852,12466,2054,234,3746,258,2514,89,1061,220,3091,711
1952,36,Alli Tracy,http://games.crossfit.com/athlete/17174,1853 (12469),0,65.0,0,17174,136.0,1706 (239),3397 (259),1560 (96),3772 (197),2034 (11:19),16,C2X CrossFit,C2X CrossFit,,,,,0,,,0.0,0.0,0.0,0.0,0,1853,12469,1706,239,3397,259,1560,96,3772,197,2034,679
1953,24,Brittney Sanchez,http://games.crossfit.com/athlete/322568,1854 (12475),0,65.0,0,322568,124.0,1600 (241),1695 (339),1182 (101),5487 (190),2511 (11:35),16,,Big Oak CrossFit,,,,,,,,165.0,140.0,305.0,225.0,,1854,12475,1600,241,1695,339,1182,101,5487,190,2511,695
1954,26,Britta Winans,http://games.crossfit.com/athlete/343277,1855 (12476),0,65.0,0,343277,135.0,2054 (234),2971 (260),3350 (87),2631 (203),1470 (10:56),16,CrossFit Hoboken I,CrossFit Hoboken,,,,,,,,190.0,135.0,300.0,240.0,,1855,12476,2054,234,2971,260,3350,87,2631,203,1470,656
1955,22,Solange Jean-Francois Mon,http://games.crossfit.com/athlete/21203,1856 (12483),0,64.17,0,21203,147.0,2888 (224),1548 (339),5306 (76),1986 (208),755 (10:18),16,WachoySancocho,Unaffiliated,,718.0,121.0,,0,98.0,1635.0,195.0,135.0,315.0,265.0,23,1856,12483,2888,224,1548,339,5306,76,1986,208,755,618
1956,35,Trisha Robinson,http://games.crossfit.com/athlete/232277,1857 (12486),0,64.0,0,232277,130.0,2371 (231),3932 (258),1844 (93),2159 (207),2180 (11:24),16,,CrossFit 1420,183.0,,,,,,,170.0,135.0,260.0,255.0,,1857,12486,2371,231,3932,258,1844,93,2159,207,2180,684
1957,27,Faith cooke,http://games.crossfit.com/athlete/128785,1858 (12488),0,,0,128785,170.0,3897 (216),373 (423),5070 (76),1866 (209),1282 (10:48),16,Premier CrossFit Tyler,Premier CrossFit,,,,,,,1110.0,,175.0,,,,1858,12488,3897,216,373,423,5070,76,1866,209,1282,648
1958,23,Meredith Roethler,http://games.crossfit.com/athlete/446938,1859 (12505),0,63.0,0,446938,118.0,1210 (247),4182 (257),1955 (91),981 (223),4177 (12:18),16,CrossFit Bettendorf,CrossFit Bettendorf,,,,,,,,,,,,,1859,12505,1210,247,4182,257,1955,91,981,223,4177,738
1959,40,Tiffani Trobough,http://games.crossfit.com/athlete/107647,1860 (12512),0,64.0,0,107647,133.0,2324 (232),2564 (261),1715 (94),1515 (213),4394 (12:23),16,CrossFit Cumming,CrossFit Cumming,231.0,556.0,193.0,1344.0,328,,,165.0,125.0,300.0,225.0,,1860,12512,2324,232,2564,261,1715,94,1515,213,4394,743
1960,31,Rachael DeYoung,http://games.crossfit.com/athlete/18260,1861 (12513),0,63.0,0,18260,130.0,2988 (223),1668 (339),3209 (88),1642 (212),3006 (11:49),16,CrossFit RPX,CrossFit RPX,,,,,,,,190.0,135.0,275.0,255.0,,1861,12513,2988,223,1668,339,3209,88,1642,212,3006,709
1961,27,Katie Flach,http://games.crossfit.com/athlete/17112,1862 (12531),0,66.0,0,17112,150.0,1655 (240),1178 (341),611 (106),1938 (209),7149 (13:16),16,,CrossFit Rikr,,597.0,146.0,,0,105.0,,195.0,165.0,0.0,0.0,0,1862,12531,1655,240,1178,341,611,106,1938,209,7149,796
1962,33,Rachel Cesa,http://games.crossfit.com/athlete/290135,1862 (12531),0,66.0,0,290135,135.0,894 (258),4167 (257),952 (102),4254 (195),2264 (11:27),16,CrossFit Tustin United,CrossFit Tustin,,,,,,,,160.0,115.0,,190.0,34,1862,12531,894,258,4167,257,952,102,4254,195,2264,687
1963,24,Sarah Chellew,http://games.crossfit.com/athlete/364889,1864 (12532),0,65.0,0,364889,135.0,1980 (235),2422 (262),5058 (76),1379 (215),1693 (11:05),16,,CrossFit HIDDENGYM,,,,,,,,190.0,140.0,300.0,265.0,,1864,12532,1980,235,2422,262,5058,76,1379,215,1693,665
1964,25,Deanna Schaper-kotter,http://games.crossfit.com/athlete/300319,1865 (12540),0,,0,300319,195.0,1095 (250),71 (428),5461 (76),4846 (192),1067 (10:37),16,The CENTAURS,CrossFit Fraser Valley,,,,,,,,,,,,,1865,12540,1095,250,71,428,5461,76,4846,192,1067,637
1965,33,Ashley Cornell,http://games.crossfit.com/athlete/17448,1866 (12552),0,65.0,0,17448,138.0,1980 (235),895 (343),2331 (90),2406 (205),4940 (12:35),16,CrossFit 1Force,CrossFit 1 Force,,,,,,,,200.0,165.0,275.0,265.0,,1866,12552,1980,235,895,343,2331,90,2406,205,4940,755
